Name,Asset Link,Complexity(1-5),Difficulty(1-5),Implementation Link,Last Verified Build,Patron,PoC Scope,Related Experiments,Related Systems,Status,Tags,Type
HZD | Spike Wall,,2,1,,poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),Neutral,Yes,EXP | PoC-001 | First Internal Playtest (EXP%20PoC-001%20First%20Internal%20Playtest%20307777a0189881488400f92ea9501dec.csv),SYS | Intent Combat (Telegraph→Commit→Execute) (SYS%20Intent%20Combat%20(Telegraph%E2%86%92Commit%E2%86%92Execute)%20307777a01898814a9d3df5820fce8fe9.csv),Spec,"INTENT, KNOCKBACK",Hazard
ENY | Slasher (Inquisitor Bladesman),,2,2,,poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),Neutral,Yes,,SYS | Intent Combat (Telegraph→Commit→Execute) (SYS%20Intent%20Combat%20(Telegraph%E2%86%92Commit%E2%86%92Execute)%20307777a01898814a9d3df5820fce8fe9.csv),Spec,INTENT,Enemy
ENY | Arbalist (Inquisitor Crossbow),,2,2,,poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),Neutral,Yes,,SYS | Intent Combat (Telegraph→Commit→Execute) (SYS%20Intent%20Combat%20(Telegraph%E2%86%92Commit%E2%86%92Execute)%20307777a01898814a9d3df5820fce8fe9.csv),Spec,INTENT,Enemy
ENY | Charger (Inquisitor Ram),,3,3,,poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),Neutral,Yes,,SYS | Intent Combat (Telegraph→Commit→Execute) (SYS%20Intent%20Combat%20(Telegraph%E2%86%92Commit%E2%86%92Execute)%20307777a01898814a9d3df5820fce8fe9.csv),Spec,"INTENT, KNOCKBACK",Enemy
BOSS | The Bailiff (MiniBoss),,4,4,,poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),Neutral,Yes,,SYS | Intent Combat (Telegraph→Commit→Execute) (SYS%20Intent%20Combat%20(Telegraph%E2%86%92Commit%E2%86%92Execute)%20307777a01898814a9d3df5820fce8fe9.csv),Spec,"INTENT, KNOCKBACK",Boss
ROOM | Thorn Hall,,1,1,,poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),Neutral,Yes,,SYS | Intent Combat (Telegraph→Commit→Execute) (SYS%20Intent%20Combat%20(Telegraph%E2%86%92Commit%E2%86%92Execute)%20307777a01898814a9d3df5820fce8fe9.csv),Spec,KNOCKBACK,Room
ROOM | Crossfire Corner,,2,2,,poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),Neutral,Yes,,SYS | Intent Combat (Telegraph→Commit→Execute) (SYS%20Intent%20Combat%20(Telegraph%E2%86%92Commit%E2%86%92Execute)%20307777a01898814a9d3df5820fce8fe9.csv),Spec,"INTENT, KNOCKBACK",Room
ROOM | Pillar Yard,,2,2,,poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),Neutral,Yes,,SYS | Intent Combat (Telegraph→Commit→Execute) (SYS%20Intent%20Combat%20(Telegraph%E2%86%92Commit%E2%86%92Execute)%20307777a01898814a9d3df5820fce8fe9.csv),Spec,INTENT,Room
ROOM | Gauntlet Lane,,2,3,,poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),Neutral,Yes,,SYS | Intent Combat (Telegraph→Commit→Execute) (SYS%20Intent%20Combat%20(Telegraph%E2%86%92Commit%E2%86%92Execute)%20307777a01898814a9d3df5820fce8fe9.csv),Spec,KNOCKBACK,Room
ROOM | Ledger Court,,3,3,,poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),Neutral,Yes,,SYS | Intent Combat (Telegraph→Commit→Execute) (SYS%20Intent%20Combat%20(Telegraph%E2%86%92Commit%E2%86%92Execute)%20307777a01898814a9d3df5820fce8fe9.csv),Spec,"INTENT, KNOCKBACK",Room
CARD | Blood-01 | 피의 도장,,2,2,,poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),Blood,Yes,,,Spec,BLEED,Card
