Title,Build,Date,Next Actions,Related Content,Related Systems,Result,Scope,Severity,Type
EXP | PoC-001 | First Internal Playtest,poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),"February 14, 2026",Commit UI 가독성 점검 + Spike Wall 유도 성공 피드백 강화 + 카드 출현/리롤로 3단계 시너지 평균 1회 보장 튜닝,"HZD | Spike Wall (HZD%20Spike%20Wall%20307777a0189881168b0eedc267753885.csv), ENY | Charger (Inquisitor Ram) (ENY%20Charger%20(Inquisitor%20Ram)%20307777a0189881acb080d77158e88064.csv), BOSS | The Bailiff (MiniBoss) (BOSS%20The%20Bailiff%20(MiniBoss)%20307777a0189881689e57f0fa3718e833.csv), ROOM | Gauntlet Lane (ROOM%20Gauntlet%20Lane%20307777a018988188b889d19f8122444f.csv), CARD | Blood-04 | 광기의 대시 (CARD%20Blood-04%20%EA%B4%91%EA%B8%B0%EC%9D%98%20%EB%8C%80%EC%8B%9C%20307777a0189881ae9f66ece1eca37e4e.csv), CARD | Iron-04 | 충격의 망치 (CARD%20Iron-04%20%EC%B6%A9%EA%B2%A9%EC%9D%98%20%EB%A7%9D%EC%B9%98%20307777a01898819a8a77cf15f6c02482.csv), CARD | Ash-05 | 계약 파기 (CARD%20Ash-05%20%EA%B3%84%EC%95%BD%20%ED%8C%8C%EA%B8%B0%20307777a01898812d8485f70aa05a1ced.csv)","SYS | Intent Combat (Telegraph→Commit→Execute) (SYS%20Intent%20Combat%20(Telegraph%E2%86%92Commit%E2%86%92Execute)%20307777a01898814a9d3df5820fce8fe9.csv), SYS | Contract Cards + Tags + Synergy (2/3/4) (SYS%20Contract%20Cards%20+%20Tags%20+%20Synergy%20(2%203%204)%20307777a0189881298208d1c037b89e77.csv), SYS | Extract & Reward Lock (Run End) (SYS%20Extract%20&%20Reward%20Lock%20(Run%20End)%20307777a0189881bbbd1df8615b6d4986.csv)",Mixed,PoC,High,Playtest
EXP | PoC-TC01 | Commit(잠금) 이해도 — 무설명 학습,poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),"February 14, 2026",Commit UI(자물쇠/실선/사운드) 보강 여부 결정 → 필요 시 ADR,"HZD | Spike Wall (HZD%20Spike%20Wall%20307777a0189881168b0eedc267753885.csv), ENY | Charger (Inquisitor Ram) (ENY%20Charger%20(Inquisitor%20Ram)%20307777a0189881acb080d77158e88064.csv), ROOM | Thorn Hall (ROOM%20Thorn%20Hall%20307777a01898812daa2af14de711e2b7.csv)",SYS | Intent Combat (Telegraph→Commit→Execute) (SYS%20Intent%20Combat%20(Telegraph%E2%86%92Commit%E2%86%92Execute)%20307777a01898814a9d3df5820fce8fe9.csv),,PoC,High,UX
EXP | PoC-TC02 | 텔레그래프 가독성 스트레스 — 정보 과밀 테스트,poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),"February 14, 2026",위험 Intent 강조(최대 3개) 정책 유효성 판단 → UI 규칙 고정,"ROOM | Ledger Court (ROOM%20Ledger%20Court%20307777a01898812eb026e6bb08de79b3.csv), ENY | Slasher (Inquisitor Bladesman) (ENY%20Slasher%20(Inquisitor%20Bladesman)%20307777a0189881b0afb1f06f483a42f6.csv), ENY | Arbalist (Inquisitor Crossbow) (ENY%20Arbalist%20(Inquisitor%20Crossbow)%20307777a0189881e6a022d5f878d47dab.csv), ENY | Charger (Inquisitor Ram) (ENY%20Charger%20(Inquisitor%20Ram)%20307777a0189881acb080d77158e88064.csv)",SYS | Intent Combat (Telegraph→Commit→Execute) (SYS%20Intent%20Combat%20(Telegraph%E2%86%92Commit%E2%86%92Execute)%20307777a01898814a9d3df5820fce8fe9.csv),,PoC,High,UX
EXP | PoC-TC03 | 스파이크 치트/무한루프 방지 검증,poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),"February 14, 2026",Spike Wall 내부 쿨다운(0.8s) / 넉백 면역(0.4s) 값 조정,"HZD | Spike Wall (HZD%20Spike%20Wall%20307777a0189881168b0eedc267753885.csv), ROOM | Thorn Hall (ROOM%20Thorn%20Hall%20307777a01898812daa2af14de711e2b7.csv), ROOM | Gauntlet Lane (ROOM%20Gauntlet%20Lane%20307777a018988188b889d19f8122444f.csv), ENY | Charger (Inquisitor Ram) (ENY%20Charger%20(Inquisitor%20Ram)%20307777a0189881acb080d77158e88064.csv), CARD | Iron-04 | 충격의 망치 (CARD%20Iron-04%20%EC%B6%A9%EA%B2%A9%EC%9D%98%20%EB%A7%9D%EC%B9%98%20307777a01898819a8a77cf15f6c02482.csv), CARD | Blood-04 | 광기의 대시 (CARD%20Blood-04%20%EA%B4%91%EA%B8%B0%EC%9D%98%20%EB%8C%80%EC%8B%9C%20307777a0189881ae9f66ece1eca37e4e.csv)","SYS | Intent Combat (Telegraph→Commit→Execute) (SYS%20Intent%20Combat%20(Telegraph%E2%86%92Commit%E2%86%92Execute)%20307777a01898814a9d3df5820fce8fe9.csv), SYS | Contract Cards + Tags + Synergy (2/3/4) (SYS%20Contract%20Cards%20+%20Tags%20+%20Synergy%20(2%203%204)%20307777a0189881298208d1c037b89e77.csv)",,PoC,High,Balance
EXP | PoC-TC04 | Charger 3초 명장면 재현성 테스트,poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),"February 14, 2026",명장면 재현이 어렵다면 룸/AI/텔레그래프 타이밍을 조정,"ROOM | Gauntlet Lane (ROOM%20Gauntlet%20Lane%20307777a018988188b889d19f8122444f.csv), HZD | Spike Wall (HZD%20Spike%20Wall%20307777a0189881168b0eedc267753885.csv), ENY | Charger (Inquisitor Ram) (ENY%20Charger%20(Inquisitor%20Ram)%20307777a0189881acb080d77158e88064.csv)",SYS | Intent Combat (Telegraph→Commit→Execute) (SYS%20Intent%20Combat%20(Telegraph%E2%86%92Commit%E2%86%92Execute)%20307777a01898814a9d3df5820fce8fe9.csv),,PoC,High,Playtest
EXP | PoC-TC05 | 시너지 3단계 평균 1회 보장 튜닝 검증,poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),"February 14, 2026",카드 제시 규칙/리롤/가중치 조정(랜덤 폭망 제거),"CARD | Blood-01 | 피의 도장 (CARD%20Blood-01%20%ED%94%BC%EC%9D%98%20%EB%8F%84%EC%9E%A5%20307777a018988157ade7d5714ac3dbb8.csv), CARD | Blood-02 | 도살자의 서약 (CARD%20Blood-02%20%EB%8F%84%EC%82%B4%EC%9E%90%EC%9D%98%20%EC%84%9C%EC%95%BD%20307777a01898811dbf9fecb3a1759852.csv), CARD | Iron-01 | 강철 가죽 (CARD%20Iron-01%20%EA%B0%95%EC%B2%A0%20%EA%B0%80%EC%A3%BD%20307777a0189881299ed9d5cedd022fbf.csv), CARD | Iron-05 | 수호자의 서약 (CARD%20Iron-05%20%EC%88%98%ED%98%B8%EC%9E%90%EC%9D%98%20%EC%84%9C%EC%95%BD%20307777a018988101b5d1fd4cfe52bf15.csv), CARD | Ash-01 | 재의 낙인 (CARD%20Ash-01%20%EC%9E%AC%EC%9D%98%20%EB%82%99%EC%9D%B8%20307777a01898814a8f5ee1145bdc7ec1.csv), CARD | Ash-02 | 연쇄의 속삭임 (CARD%20Ash-02%20%EC%97%B0%EC%87%84%EC%9D%98%20%EC%86%8D%EC%82%AD%EC%9E%84%20307777a0189881dda30ffd58c4938ed4.csv)",SYS | Contract Cards + Tags + Synergy (2/3/4) (SYS%20Contract%20Cards%20+%20Tags%20+%20Synergy%20(2%203%204)%20307777a0189881298208d1c037b89e77.csv),,PoC,High,Balance
EXP | PoC-TC06 | 카드 UI(이득/대가) 이해도 — 선택 실수 방지,poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),"February 14, 2026","Benefit/Debt 문장 길이/강조 규칙 고정, 위험 대가 경고 UI 여부 결정","CARD | Blood-06 | 사형 집행의 연서 (CARD%20Blood-06%20%EC%82%AC%ED%98%95%20%EC%A7%91%ED%96%89%EC%9D%98%20%EC%97%B0%EC%84%9C%20307777a01898815da9fae185a647b84b.csv), CARD | Iron-05 | 수호자의 서약 (CARD%20Iron-05%20%EC%88%98%ED%98%B8%EC%9E%90%EC%9D%98%20%EC%84%9C%EC%95%BD%20307777a018988101b5d1fd4cfe52bf15.csv), CARD | Ash-03 | 불길한 예고 (CARD%20Ash-03%20%EB%B6%88%EA%B8%B8%ED%95%9C%20%EC%98%88%EA%B3%A0%20307777a018988125bd34e61aeb234925.csv)",SYS | Contract Cards + Tags + Synergy (2/3/4) (SYS%20Contract%20Cards%20+%20Tags%20+%20Synergy%20(2%203%204)%20307777a0189881298208d1c037b89e77.csv),,PoC,Mid,UX
EXP | PoC-TC07 | 런타임(6~10분) 목표 달성 검증,poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),"February 14, 2026",룸당 스폰량/후딜/선택 UI 시간 조정으로 6~10분 수렴,"ROOM | Thorn Hall (ROOM%20Thorn%20Hall%20307777a01898812daa2af14de711e2b7.csv), ROOM | Crossfire Corner (ROOM%20Crossfire%20Corner%20307777a0189881b6a731ca393ee9bd7b.csv), ROOM | Pillar Yard (ROOM%20Pillar%20Yard%20307777a0189881e6812ddaa51b8f98f5.csv), ROOM | Gauntlet Lane (ROOM%20Gauntlet%20Lane%20307777a018988188b889d19f8122444f.csv), ROOM | Ledger Court (ROOM%20Ledger%20Court%20307777a01898812eb026e6bb08de79b3.csv), BOSS | The Bailiff (MiniBoss) (BOSS%20The%20Bailiff%20(MiniBoss)%20307777a0189881689e57f0fa3718e833.csv)","SYS | Intent Combat (Telegraph→Commit→Execute) (SYS%20Intent%20Combat%20(Telegraph%E2%86%92Commit%E2%86%92Execute)%20307777a01898814a9d3df5820fce8fe9.csv), SYS | Contract Cards + Tags + Synergy (2/3/4) (SYS%20Contract%20Cards%20+%20Tags%20+%20Synergy%20(2%203%204)%20307777a0189881298208d1c037b89e77.csv), SYS | Extract & Reward Lock (Run End) (SYS%20Extract%20&%20Reward%20Lock%20(Run%20End)%20307777a0189881bbbd1df8615b6d4986.csv)",,PoC,High,Balance
EXP | PoC-TC08 | 공정성(억울함) 분석 — 죽음 원인 분류,poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),"February 14, 2026",억울함 원인이 UI/조작/룰 중 무엇인지 분해 후 수정안 ADR,"ENY | Slasher (Inquisitor Bladesman) (ENY%20Slasher%20(Inquisitor%20Bladesman)%20307777a0189881b0afb1f06f483a42f6.csv), ENY | Arbalist (Inquisitor Crossbow) (ENY%20Arbalist%20(Inquisitor%20Crossbow)%20307777a0189881e6a022d5f878d47dab.csv), ENY | Charger (Inquisitor Ram) (ENY%20Charger%20(Inquisitor%20Ram)%20307777a0189881acb080d77158e88064.csv), ROOM | Ledger Court (ROOM%20Ledger%20Court%20307777a01898812eb026e6bb08de79b3.csv)",SYS | Intent Combat (Telegraph→Commit→Execute) (SYS%20Intent%20Combat%20(Telegraph%E2%86%92Commit%E2%86%92Execute)%20307777a01898814a9d3df5820fce8fe9.csv),,PoC,High,Playtest
EXP | PoC-TC09 | Android 성능 스모크 테스트(프레임/발열/입력),poc-0.1.0 (poc-0%201%200%20307777a0189881048febcef792b7153f.csv),"February 14, 2026",텔레그래프/VFX/충돌 연산 과부하 지점 찾고 최적화,"ROOM | Ledger Court (ROOM%20Ledger%20Court%20307777a01898812eb026e6bb08de79b3.csv), ENY | Slasher (Inquisitor Bladesman) (ENY%20Slasher%20(Inquisitor%20Bladesman)%20307777a0189881b0afb1f06f483a42f6.csv), ENY | Arbalist (Inquisitor Crossbow) (ENY%20Arbalist%20(Inquisitor%20Crossbow)%20307777a0189881e6a022d5f878d47dab.csv), ENY | Charger (Inquisitor Ram) (ENY%20Charger%20(Inquisitor%20Ram)%20307777a0189881acb080d77158e88064.csv), HZD | Spike Wall (HZD%20Spike%20Wall%20307777a0189881168b0eedc267753885.csv)",SYS | Intent Combat (Telegraph→Commit→Execute) (SYS%20Intent%20Combat%20(Telegraph%E2%86%92Commit%E2%86%92Execute)%20307777a01898814a9d3df5820fce8fe9.csv),,PoC,Mid,Performance
